Name,Username,Role,AttendeeType,First join,Last leave,Total time,Joins
,qn5337354,Participant,Integration,9/1/2021 9:15,9/1/2021 9:42,0:27:26,1
,vd4537084,Participant,Integration,9/1/2021 9:18,9/1/2021 9:50,0:32:40,1
,prkg.vdohk,Moderator,Integration,9/1/2021 9:19,9/1/2021 11:17,1:56:49,3
,dd4131358,Participant,Integration,9/1/2021 9:19,9/1/2021 9:43,0:19:22,4
,ik5339247,Participant,Integration,9/1/2021 9:22,9/1/2021 9:42,0:20:02,1
,uq5439096,Participant,Integration,9/1/2021 9:23,9/1/2021 10:08,0:26:20,4
,id4938300,Participant,Integration,9/1/2021 9:23,9/1/2021 10:32,1:05:49,4
,id5430444,Participant,Integration,9/1/2021 9:24,9/1/2021 9:43,0:19:27,1
,kd4235891,Participant,Integration,9/1/2021 9:25,9/1/2021 9:42,0:16:47,1
,nd5436650,Participant,Integration,9/1/2021 9:25,9/1/2021 9:43,0:17:16,2
,pd5335091,Participant,Integration,9/1/2021 9:25,9/1/2021 9:42,0:16:39,1
,ed5334189,Participant,Integration,9/1/2021 9:26,9/1/2021 9:43,0:17:11,1
,vd4234931,Participant,Integration,9/1/2021 9:27,9/1/2021 9:43,0:16:15,1
,dd4034114,Participant,Integration,9/1/2021 9:28,9/1/2021 9:42,0:13:42,1
,id5330394,Participant,Integration,9/1/2021 9:29,9/1/2021 9:42,0:13:35,1
,vk5430691,Participant,Integration,9/1/2021 9:29,9/1/2021 9:43,0:13:24,1
,vv5337185,Participant,Integration,9/1/2021 9:29,9/1/2021 9:42,0:12:54,1
,id5339207,Participant,Integration,9/1/2021 9:30,9/1/2021 9:43,0:12:20,1
,id5334096,Participant,Integration,9/1/2021 9:30,9/1/2021 9:43,0:12:20,1
,dd5435233,Participant,Integration,9/1/2021 9:32,9/1/2021 9:41,0:09:15,2
,um4238691,Participant,Integration,9/1/2021 9:32,9/1/2021 9:40,0:08:45,1
,di5330426,Participant,Integration,9/1/2021 9:32,9/1/2021 9:44,0:12:36,1
,gd5335688,Participant,Integration,9/1/2021 9:32,9/1/2021 9:44,0:10:33,6
,dd5335305,Participant,Integration,9/1/2021 9:33,9/1/2021 9:43,0:09:51,1
,qd4135575,Participant,Integration,9/1/2021 9:36,9/1/2021 9:43,0:07:33,1
,pd4234138,Participant,Integration,9/1/2021 9:36,9/1/2021 9:44,0:07:21,1
,vd4235018,Participant,Integration,9/1/2021 9:37,9/1/2021 9:46,0:05:32,2
,pd5335375,Participant,Integration,9/1/2021 9:38,9/1/2021 9:42,0:04:40,1
,uv5437419,Participant,Integration,9/1/2021 9:38,9/1/2021 9:39,0:00:38,1
,id5435288,Participant,Integration,9/1/2021 9:39,9/1/2021 9:44,0:04:18,1
,op4235616,Participant,Integration,9/1/2021 9:43,9/1/2021 10:53,1:09:33,2
,dd5334817,Participant,Integration,9/1/2021 9:46,9/1/2021 9:52,0:05:31,1
