Name,Username,Role,AttendeeType,First join,Last leave,Total time,Joins
,prkg.vdohk,Moderator,Integration,8/23/2021 9:18,8/23/2021 10:51,1:32:49,1
,qn5337354,Participant,Integration,8/23/2021 9:19,8/23/2021 10:50,1:30:30,1
,uv5437419,Participant,Integration,8/23/2021 9:21,8/23/2021 10:50,1:28:48,1
,id5430444,Participant,Integration,8/23/2021 9:22,8/23/2021 10:50,1:28:42,1
,uq5439096,Participant,Integration,8/23/2021 9:23,8/23/2021 10:50,1:27:12,1
,pd5335099,Participant,Integration,8/23/2021 9:23,8/23/2021 10:50,1:26:55,1
,id5435288,Participant,Integration,8/23/2021 9:24,8/23/2021 10:50,1:25:56,1
,nd5436650,Participant,Integration,8/23/2021 9:26,8/23/2021 10:50,1:24:35,1
,vk5430691,Participant,Integration,8/23/2021 9:26,8/23/2021 10:51,1:24:12,1
,di5330426,Participant,Integration,8/23/2021 9:27,8/23/2021 10:50,1:23:17,1
,vd4234931,Participant,Integration,8/23/2021 9:27,8/23/2021 10:50,1:22:46,1
,id5330394,Participant,Integration,8/23/2021 9:28,8/23/2021 10:50,1:22:11,1
,vd4537084,Participant,Integration,8/23/2021 9:28,8/23/2021 10:50,1:21:47,1
,pd5335375,Participant,Integration,8/23/2021 9:28,8/23/2021 10:50,1:21:53,1
,dd5334817,Participant,Integration,8/23/2021 9:28,8/23/2021 10:50,1:21:47,1
,vv5337185,Participant,Integration,8/23/2021 9:29,8/23/2021 10:50,1:21:20,1
,dd4131358,Participant,Integration,8/23/2021 9:29,8/23/2021 10:50,1:20:13,2
,id5334096,Participant,Integration,8/23/2021 9:29,8/23/2021 10:50,1:20:52,1
,pd5335091,Participant,Integration,8/23/2021 9:30,8/23/2021 10:50,1:20:25,1
,ed5334189,Participant,Integration,8/23/2021 9:30,8/23/2021 10:50,1:20:17,2
,id5339207,Participant,Integration,8/23/2021 9:30,8/23/2021 10:50,1:19:49,2
,dd5335305,Participant,Integration,8/23/2021 9:30,8/23/2021 10:50,1:20:18,1
,gd5335688,Participant,Integration,8/23/2021 9:31,8/23/2021 10:50,1:18:41,2
,qd4135575,Participant,Integration,8/23/2021 9:32,8/23/2021 10:51,1:19:04,1
,ik5339247,Participant,Integration,8/23/2021 9:34,8/23/2021 10:50,1:16:09,1
,um4238691,Participant,Integration,8/23/2021 9:35,8/23/2021 10:50,1:15:12,1
,dd5435233,Participant,Integration,8/23/2021 9:35,8/23/2021 10:50,1:15:28,1
,op4235616,Participant,Integration,8/23/2021 9:35,8/23/2021 10:51,1:15:31,1
,vd4235018,Participant,Integration,8/23/2021 9:36,8/23/2021 10:50,1:14:26,1
,kd4235891,Participant,Integration,8/23/2021 9:38,8/23/2021 10:50,1:11:57,1
,od4234676,Participant,Integration,8/23/2021 9:40,8/23/2021 10:50,1:08:42,2
,pd4234138,Participant,Integration,8/23/2021 9:40,8/23/2021 10:50,1:09:56,1
,id4938300,Participant,Integration,8/23/2021 9:51,8/23/2021 11:07,1:15:58,1
