Name,Username,Role,AttendeeType,First join,Last leave,Total time,Joins
,pd5335091,Participant,Integration,8/16/2021 9:15,8/16/2021 10:49,1:34:18,1
,qn5337354,Participant,Integration,8/16/2021 9:16,8/16/2021 10:50,1:33:29,1
,dp5438622,Participant,Integration,8/16/2021 9:21,8/16/2021 10:52,1:30:42,2
,nd5436650,Participant,Integration,8/16/2021 9:21,8/16/2021 10:50,1:26:48,2
,vd4537084,Participant,Integration,8/16/2021 9:23,8/16/2021 10:50,1:19:31,3
,pd5335099,Participant,Integration,8/16/2021 9:23,8/16/2021 10:49,1:26:36,1
,ik5339247,Participant,Integration,8/16/2021 9:24,8/16/2021 10:49,1:25:31,1
,prkg.vdohk,Moderator,Integration,8/16/2021 9:24,8/16/2021 10:54,1:29:24,1
,uv5437419,Participant,Integration,8/16/2021 9:25,8/16/2021 10:50,1:24:56,1
,id5334096,Participant,Integration,8/16/2021 9:25,8/16/2021 10:50,1:24:33,1
,id5339207,Participant,Integration,8/16/2021 9:27,8/16/2021 10:49,1:22:09,5
,uq5439096,Participant,Integration,8/16/2021 9:27,8/16/2021 10:50,1:22:23,1
,vd4234931,Participant,Integration,8/16/2021 9:27,8/16/2021 10:50,1:22:01,3
,id5330394,Participant,Integration,8/16/2021 9:28,8/16/2021 10:50,1:21:32,1
,pd4234138,Participant,Integration,8/16/2021 9:28,8/16/2021 10:49,1:21:24,1
,vk5430691,Participant,Integration,8/16/2021 9:28,8/16/2021 10:50,1:21:36,1
,id4244024,Participant,Integration,8/16/2021 9:30,8/16/2021 10:50,1:19:32,1
,vv5337185,Participant,Integration,8/16/2021 9:30,8/16/2021 10:50,1:19:22,1
,dd5334817,Participant,Integration,8/16/2021 9:31,8/16/2021 10:49,1:12:13,4
,dd5335305,Participant,Integration,8/16/2021 9:31,8/16/2021 10:50,1:18:04,1
,kd4235891,Participant,Integration,8/16/2021 9:32,8/16/2021 10:50,1:17:55,1
,di5330426,Participant,Integration,8/16/2021 9:33,8/16/2021 10:50,1:16:48,2
,od4234676,Participant,Integration,8/16/2021 9:34,8/16/2021 10:50,1:15:41,1
,dd4131358,Participant,Integration,8/16/2021 9:36,8/16/2021 10:50,1:14:16,2
,ed5334189,Participant,Integration,8/16/2021 9:36,8/16/2021 10:50,1:13:10,2
,id5435288,Participant,Integration,8/16/2021 9:36,8/16/2021 10:50,1:13:35,1
,dd5435233,Participant,Integration,8/16/2021 9:38,8/16/2021 10:50,1:11:23,1
,dd4234734,Participant,Integration,8/16/2021 9:41,8/16/2021 10:52,1:10:43,1
,id5430444,Participant,Integration,8/16/2021 10:14,8/16/2021 10:51,0:29:47,10
