Name,Username,Role,AttendeeType,First join,Last leave,Total time,Joins
,ik5339247,Participant,Integration,8/30/2021 9:24,8/30/2021 9:24,0:00:17,1
,nd5436650,Participant,Integration,8/30/2021 9:25,8/30/2021 9:30,0:03:18,2
,dd4034114,Participant,Integration,8/30/2021 9:26,8/30/2021 9:30,0:03:42,1
,vd4234931,Participant,Integration,8/30/2021 9:26,8/30/2021 9:30,0:03:38,1
,pd5335099,Participant,Integration,8/30/2021 9:29,8/30/2021 9:29,0:00:10,1
,id5339207,Participant,Integration,8/30/2021 9:31,8/30/2021 9:34,0:02:34,2
,pd4234138,Participant,Integration,8/30/2021 9:32,8/30/2021 9:32,0:00:07,1
,gd5335688,Participant,Integration,8/30/2021 9:32,8/30/2021 9:35,0:02:22,1
,vd4235018,Participant,Integration,8/30/2021 9:33,8/30/2021 9:37,0:04:34,1
,id4938300,Participant,Integration,8/30/2021 9:33,8/30/2021 9:34,0:00:03,1
,um4238691,Participant,Integration,8/30/2021 9:35,8/30/2021 9:37,0:01:18,1
,kd4235891,Participant,Integration,8/30/2021 10:29,8/30/2021 10:29,0:00:03,1
,pd4234138,Participant,Integration,8/30/2021 9:17,8/30/2021 9:17,0:00:18,1
