Name,Username,Role,AttendeeType,First join,Last leave,Total time,Joins
,qn5337354,Participant,Integration,8/25/2021 9:18,8/25/2021 10:51,1:33:26,1
,pd5335091,Participant,Integration,8/25/2021 9:18,8/25/2021 10:51,1:32:58,1
,prkg.vdohk,Moderator,Integration,8/25/2021 9:20,8/25/2021 10:52,1:32:00,1
,uq5439096,Participant,Integration,8/25/2021 9:21,8/25/2021 10:51,1:30:45,1
,vk5430691,Participant,Integration,8/25/2021 9:24,8/25/2021 10:51,1:27:27,1
,pd5335099,Participant,Integration,8/25/2021 9:25,8/25/2021 9:34,0:08:59,1
,ed5334189,Participant,Integration,8/25/2021 9:25,8/25/2021 10:51,1:26:13,2
,di5330426,Participant,Integration,8/25/2021 9:25,8/25/2021 10:51,1:26:10,1
,nd5436650,Participant,Integration,8/25/2021 9:26,8/25/2021 10:51,1:25:17,1
,id5435288,Participant,Integration,8/25/2021 9:26,8/25/2021 10:51,1:13:56,5
,ik5339247,Participant,Integration,8/25/2021 9:26,8/25/2021 10:51,1:24:27,3
,id4938300,Participant,Integration,8/25/2021 9:27,8/25/2021 10:51,1:23:28,2
,uv5437419,Participant,Integration,8/25/2021 9:27,8/25/2021 10:51,1:23:48,1
,vv5337185,Participant,Integration,8/25/2021 9:27,8/25/2021 10:51,1:23:44,1
,vd4234931,Participant,Integration,8/25/2021 9:27,8/25/2021 10:51,1:23:32,1
,pd4234138,Participant,Integration,8/25/2021 9:29,8/25/2021 10:51,1:22:21,1
,id5334096,Participant,Integration,8/25/2021 9:30,8/25/2021 10:52,1:21:58,1
,dp5438622,Participant,Integration,8/25/2021 9:31,8/25/2021 10:51,1:19:52,1
,dd5335305,Participant,Integration,8/25/2021 9:32,8/25/2021 10:52,1:14:18,3
,id5339207,Participant,Integration,8/25/2021 9:32,8/25/2021 10:51,1:19:29,1
,dd5334817,Participant,Integration,8/25/2021 9:32,8/25/2021 10:51,1:16:06,2
,id5430444,Participant,Integration,8/25/2021 9:32,8/25/2021 10:51,1:18:36,2
,dd5435233,Participant,Integration,8/25/2021 9:34,8/25/2021 10:51,1:17:17,1
,kd4235184,Participant,Integration,8/25/2021 9:34,8/25/2021 10:52,1:17:35,2
,qd4135575,Participant,Integration,8/25/2021 9:34,8/25/2021 10:52,1:17:17,1
,dd4234734,Participant,Integration,8/25/2021 9:35,8/25/2021 10:51,1:16:09,1
,op4235616,Participant,Integration,8/25/2021 9:37,8/25/2021 10:52,1:15:22,1
,vd4235018,Participant,Integration,8/25/2021 9:37,8/25/2021 10:53,1:14:42,2
,id4244024,Participant,Integration,8/25/2021 9:37,8/25/2021 10:51,1:12:58,2
,kd4235891,Participant,Integration,8/25/2021 9:43,8/25/2021 10:51,1:05:14,4
,od4234676,Participant,Integration,8/25/2021 9:50,8/25/2021 10:14,0:23:54,6
,dd4131358,Participant,Integration,8/25/2021 9:52,8/25/2021 10:52,0:59:21,1
