Name,Username,Role,AttendeeType,First join,Last leave,Total time,Joins
,dp5438622,Participant,Integration,8/18/2021 9:17,8/18/2021 10:48,1:31:41,1
,qn5337354,Participant,Integration,8/18/2021 9:17,8/18/2021 10:48,1:30:37,1
,pd5335091,Participant,Integration,8/18/2021 9:18,8/18/2021 10:48,1:30:08,1
,prkg.vdohk,Moderator,Integration,8/18/2021 9:19,8/18/2021 10:50,1:30:30,1
,id5334096,Participant,Integration,8/18/2021 9:19,8/18/2021 10:48,1:28:29,1
,uv5437419,Participant,Integration,8/18/2021 9:20,8/18/2021 10:48,1:27:41,1
,pd5335375,Participant,Integration,8/18/2021 9:23,8/18/2021 10:48,1:25:43,1
,id5339207,Participant,Integration,8/18/2021 9:25,8/18/2021 10:48,1:22:46,1
,vk5430691,Participant,Integration,8/18/2021 9:26,8/18/2021 10:48,1:22:27,1
,nd5436650,Participant,Integration,8/18/2021 9:26,8/18/2021 10:48,1:22:30,1
,uq5439096,Participant,Integration,8/18/2021 9:26,8/18/2021 10:48,1:21:58,1
,ed5334189,Participant,Integration,8/18/2021 9:27,8/18/2021 10:48,1:20:31,3
,id5430444,Participant,Integration,8/18/2021 9:27,8/18/2021 10:48,1:21:20,1
,ik5339247,Participant,Integration,8/18/2021 9:28,8/18/2021 10:48,1:20:13,1
,vd4537084,Participant,Integration,8/18/2021 9:28,8/18/2021 10:49,1:20:49,1
,id5330394,Participant,Integration,8/18/2021 9:28,8/18/2021 10:48,1:19:51,1
,vd4234931,Participant,Integration,8/18/2021 9:29,8/18/2021 10:48,1:19:29,1
,id5435288,Participant,Integration,8/18/2021 9:29,8/18/2021 10:48,1:14:42,3
,pd4234138,Participant,Integration,8/18/2021 9:29,8/18/2021 10:48,1:19:15,1
,dd5334817,Participant,Integration,8/18/2021 9:30,8/18/2021 10:48,1:17:40,1
,dd5335305,Participant,Integration,8/18/2021 9:31,8/18/2021 10:48,1:16:26,2
,di5330426,Participant,Integration,8/18/2021 9:31,8/18/2021 11:31,1:59:54,1
,id4244024,Participant,Integration,8/18/2021 9:32,8/18/2021 10:48,1:16:08,1
,dd5435233,Participant,Integration,8/18/2021 9:33,8/18/2021 10:48,1:15:05,1
,um4238691,Participant,Integration,8/18/2021 9:35,8/18/2021 10:48,1:13:09,1
,dd4131358,Participant,Integration,8/18/2021 9:36,8/18/2021 10:49,1:06:56,6
,od4234676,Participant,Integration,8/18/2021 9:38,8/18/2021 10:48,1:07:36,2
,dd4234734,Participant,Integration,8/18/2021 9:39,8/18/2021 10:48,1:08:37,1
,vd4235018,Participant,Integration,8/18/2021 9:41,8/18/2021 10:14,0:32:20,1
,id4133064,Participant,Integration,8/18/2021 9:52,8/18/2021 10:48,0:55:21,2
,vv5337185,Participant,Integration,8/18/2021 10:02,8/18/2021 10:48,0:45:49,1
,kd4235891,Participant,Integration,8/18/2021 10:25,8/18/2021 10:48,0:22:12,2
