Name,Username,Role,AttendeeType,First join,Last leave,Total time,Joins
,vd4130995,Participant,Integration,9/5/2021 9:50,9/5/2021 10:55,1:05:29,1
,dp4243232,Participant,Integration,9/5/2021 9:53,9/5/2021 10:55,1:01:32,1
,prkg.vdohk,Moderator,Integration,9/5/2021 9:55,9/5/2021 10:55,1:00:15,1
,pd4032315,Participant,Integration,9/5/2021 9:57,9/5/2021 10:55,0:57:33,3
,dv4135517,Participant,Integration,9/5/2021 9:58,9/5/2021 10:55,0:57:02,1
,np4939521,Participant,Integration,9/5/2021 9:58,9/5/2021 10:55,0:56:37,1
,uf4943308,Participant,Integration,9/5/2021 9:58,9/5/2021 10:56,0:57:53,1
,rp4531436,Participant,Integration,9/5/2021 9:59,9/5/2021 10:55,0:56:18,1
,pd4039515,Participant,Integration,9/5/2021 9:59,9/5/2021 10:55,0:56:09,1
,ev4136307,Participant,Integration,9/5/2021 9:59,9/5/2021 10:55,0:56:05,1
,pd4137349,Participant,Integration,9/5/2021 9:59,9/5/2021 10:56,0:56:14,1
,bt4034812,Participant,Integration,9/5/2021 10:00,9/5/2021 10:55,0:55:06,1
,le4035217,Participant,Integration,9/5/2021 10:01,9/5/2021 10:09,0:07:51,1
,vc4031009,Participant,Integration,9/5/2021 10:01,9/5/2021 10:55,0:54:03,1
,bd4134214,Participant,Integration,9/5/2021 10:01,9/5/2021 10:55,0:53:40,1
,dd4135406,Participant,Integration,9/5/2021 10:01,9/5/2021 10:55,0:53:53,2
,dn4138235,Participant,Integration,9/5/2021 10:02,9/5/2021 10:55,0:53:27,1
,pd4034697,Participant,Integration,9/5/2021 10:02,9/5/2021 10:55,0:52:44,1
,ql4932921,Participant,Integration,9/5/2021 10:02,9/5/2021 10:55,0:52:32,1
,pg4847363,Participant,Integration,9/5/2021 10:03,9/5/2021 10:56,0:53:36,1
,dn4232885,Participant,Integration,9/5/2021 10:05,9/5/2021 10:55,0:49:32,1
,ws4236779,Participant,Integration,9/5/2021 10:06,9/5/2021 10:55,0:48:58,1
,pp4231214,Participant,Integration,9/5/2021 10:09,9/5/2021 10:55,0:46:07,5
,dd4038512,Participant,Integration,9/5/2021 10:10,9/5/2021 10:56,0:44:22,2
,dl4131651,Participant,Integration,9/5/2021 10:10,9/5/2021 10:55,0:44:30,1
,dk4139219,Participant,Integration,9/5/2021 10:11,9/5/2021 10:55,0:44:25,1
,pb4932040,Participant,Integration,9/5/2021 10:11,9/5/2021 10:55,0:44:01,1
,pp4931424,Participant,Integration,9/5/2021 10:13,9/5/2021 10:55,0:41:37,1
,ud4844155,Participant,Integration,9/5/2021 10:18,9/5/2021 10:55,0:36:58,1
,vh4037572,Participant,Integration,9/5/2021 10:19,9/5/2021 10:55,0:34:21,2
,pd4943963,Participant,Integration,9/5/2021 10:20,9/5/2021 10:55,0:35:14,2
,pd4037567,Participant,Integration,9/5/2021 10:32,9/5/2021 10:55,0:23:14,1
