Name,Username,Role,AttendeeType,First join,Last leave,Total time,Joins
,id4035504,Participant,Integration,8/22/2021 9:48,8/22/2021 10:59,0:57:21,3
,vd4130995,Participant,Integration,8/22/2021 9:53,8/22/2021 10:57,1:03:08,1
,np4939521,Participant,Integration,8/22/2021 9:55,8/22/2021 10:57,1:01:21,1
,dd4135406,Participant,Integration,8/22/2021 9:57,8/22/2021 10:57,0:59:56,2
,dv4135517,Participant,Integration,8/22/2021 9:57,8/22/2021 10:59,1:02:19,1
,prkg.vdohk,Moderator,Integration,8/22/2021 9:57,8/22/2021 10:59,1:02:10,1
,rp4531436,Participant,Integration,8/22/2021 9:57,8/22/2021 10:57,1:00:09,1
,qd4937771,Participant,Integration,8/22/2021 9:57,8/22/2021 10:59,1:01:36,1
,pd4039515,Participant,Integration,8/22/2021 9:58,8/22/2021 10:57,0:59:10,1
,dp4243232,Participant,Integration,8/22/2021 9:59,8/22/2021 10:57,0:52:48,4
,dn4138235,Participant,Integration,8/22/2021 9:59,8/22/2021 10:58,0:57:34,1
,ud4844155,Participant,Integration,8/22/2021 10:00,8/22/2021 10:57,0:57:11,2
,pg4847363,Participant,Integration,8/22/2021 10:00,8/22/2021 10:57,0:56:45,1
,pd4137349,Participant,Integration,8/22/2021 10:00,8/22/2021 10:57,0:57:02,1
,dl4131651,Participant,Integration,8/22/2021 10:00,8/22/2021 10:57,0:56:54,1
,ev4136307,Participant,Integration,8/22/2021 10:00,8/22/2021 10:57,0:56:15,1
,bt4034812,Participant,Integration,8/22/2021 10:00,8/22/2021 10:57,0:56:12,1
,vc4031009,Participant,Integration,8/22/2021 10:01,8/22/2021 10:57,0:56:05,1
,ql4932921,Participant,Integration,8/22/2021 10:01,8/22/2021 10:57,0:55:32,1
,pd4032315,Participant,Integration,8/22/2021 10:01,8/22/2021 10:57,0:53:17,7
,dk4139219,Participant,Integration,8/22/2021 10:02,8/22/2021 10:57,0:55:23,1
,dd4038512,Participant,Integration,8/22/2021 10:02,8/22/2021 10:57,0:55:33,1
,pd4943963,Participant,Integration,8/22/2021 10:02,8/22/2021 10:57,0:55:16,1
,dn4232885,Participant,Integration,8/22/2021 10:02,8/22/2021 10:57,0:54:53,1
,uf4943308,Participant,Integration,8/22/2021 10:02,8/22/2021 10:57,0:54:27,1
,pb4932040,Participant,Integration,8/22/2021 10:04,8/22/2021 10:57,0:52:58,1
,pp4931424,Participant,Integration,8/22/2021 10:04,8/22/2021 10:57,0:52:29,1
,vh4037572,Participant,Integration,8/22/2021 10:04,8/22/2021 10:57,0:52:13,2
,pv4135009,Participant,Integration,8/22/2021 10:05,8/22/2021 10:57,0:52:00,1
,pp4231214,Participant,Integration,8/22/2021 10:05,8/22/2021 10:57,0:52:02,1
,pd4034697,Participant,Integration,8/22/2021 10:06,8/22/2021 10:52,0:45:58,1
,bd4134214,Participant,Integration,8/22/2021 10:08,8/22/2021 10:57,0:48:25,1
,pd4037567,Participant,Integration,8/22/2021 10:22,8/22/2021 10:57,0:34:48,1
,le4035217,Participant,Integration,8/22/2021 10:45,8/22/2021 10:57,0:12:26,1
