Name,Username,Role,AttendeeType,First join,Last leave,Total time,Joins
,prkg.vdohk,Moderator,Integration,8/22/2021 8:55,8/22/2021 9:56,1:01:07,1
,id4035381,Participant,Integration,8/22/2021 8:55,8/22/2021 9:55,0:59:21,1
,ip4037776,Participant,Integration,8/22/2021 8:55,8/22/2021 9:54,0:58:57,1
,ph4136791,Participant,Integration,8/22/2021 8:56,8/22/2021 9:55,0:57:19,2
,qd4034669,Participant,Integration,8/22/2021 8:56,8/22/2021 9:46,0:49:42,1
,pd4134037,Participant,Integration,8/22/2021 8:58,8/22/2021 9:55,0:56:45,1
,kd4737194,Participant,Integration,8/22/2021 8:59,8/22/2021 9:54,0:55:24,1
,pd4133939,Participant,Integration,8/22/2021 8:59,8/22/2021 9:54,0:46:01,2
,pk4133115,Participant,Integration,8/22/2021 9:00,8/22/2021 9:55,0:54:56,1
,dh4133165,Participant,Integration,8/22/2021 9:00,8/22/2021 9:55,0:54:45,1
,uh4034202,Participant,Integration,8/22/2021 9:00,8/22/2021 9:55,0:54:50,1
,uq4039461,Participant,Integration,8/22/2021 9:01,8/22/2021 9:54,0:53:38,1
,kh4138456,Participant,Integration,8/22/2021 9:01,8/22/2021 9:55,0:53:37,1
,qd4133786,Participant,Integration,8/22/2021 9:02,8/22/2021 9:54,0:52:20,1
,vd4136613,Participant,Integration,8/22/2021 9:02,8/22/2021 9:54,0:52:31,1
,dw4135370,Participant,Integration,8/22/2021 9:02,8/22/2021 9:54,0:49:28,5
,kd4133686,Participant,Integration,8/22/2021 9:02,8/22/2021 9:54,0:52:07,1
,gk4133101,Participant,Integration,8/22/2021 9:03,8/22/2021 9:54,0:51:16,1
,id4034975,Participant,Integration,8/22/2021 9:04,8/22/2021 9:55,0:51:02,1
,od4133911,Participant,Integration,8/22/2021 9:04,8/22/2021 9:54,0:50:42,1
,dd4133816,Participant,Integration,8/22/2021 9:05,8/22/2021 9:54,0:48:32,1
,id4843046,Participant,Integration,8/22/2021 9:09,8/22/2021 9:55,0:46:47,1
,kk4932927,Participant,Integration,8/22/2021 9:13,8/22/2021 9:54,0:41:48,1
,pd4133901,Participant,Integration,8/22/2021 9:14,8/22/2021 9:54,0:38:25,2
