Name,Username,Role,AttendeeType,First join,Last leave,Total time,Joins
,qd4037796,Participant,Integration,8/24/2021 8:54,8/24/2021 10:43,1:48:32,1
,uh4034202,Participant,Integration,8/24/2021 8:55,8/24/2021 9:57,1:01:04,2
,id4035381,Participant,Integration,8/24/2021 8:57,8/24/2021 9:58,1:01:24,1
,prkg.vdohk,Moderator,Integration,8/24/2021 8:57,8/24/2021 9:58,1:01:19,1
,kh4138456,Participant,Integration,8/24/2021 8:59,8/24/2021 9:57,0:58:21,1
,qd4034669,Participant,Integration,8/24/2021 8:59,8/24/2021 9:57,0:57:56,1
,qd4034774,Participant,Integration,8/24/2021 9:00,8/24/2021 9:57,0:57:18,2
,kd4737194,Participant,Integration,8/24/2021 9:00,8/24/2021 9:57,0:56:49,2
,dh4133165,Participant,Integration,8/24/2021 9:01,8/24/2021 9:59,0:58:33,1
,id4034975,Participant,Integration,8/24/2021 9:01,8/24/2021 9:57,0:55:36,1
,qd4133786,Participant,Integration,8/24/2021 9:01,8/24/2021 9:57,0:55:46,1
,pk4133115,Participant,Integration,8/24/2021 9:02,8/24/2021 9:57,0:55:23,1
,vd4136613,Participant,Integration,8/24/2021 9:02,8/24/2021 9:57,0:53:49,2
,pd4134894,Participant,Integration,8/24/2021 9:05,8/24/2021 9:58,0:47:44,4
,kd4133686,Participant,Integration,8/24/2021 9:06,8/24/2021 9:57,0:51:20,2
,ip4037776,Participant,Integration,8/24/2021 9:06,8/24/2021 9:58,0:31:02,2
,pd4134037,Participant,Integration,8/24/2021 9:07,8/24/2021 9:58,0:49:55,2
,pd4133901,Participant,Integration,8/24/2021 9:07,8/24/2021 9:57,0:49:16,1
,kk4932927,Participant,Integration,8/24/2021 9:08,8/24/2021 9:57,0:48:57,1
,uq4039461,Participant,Integration,8/24/2021 9:08,8/24/2021 9:57,0:48:46,1
,od4133911,Participant,Integration,8/24/2021 9:11,8/24/2021 9:58,0:46:38,1
,id4843046,Participant,Integration,8/24/2021 9:13,8/24/2021 9:57,0:44:42,1
,gk4133101,Participant,Integration,8/24/2021 9:31,8/24/2021 9:57,0:26:25,1
,pd4133939,Participant,Integration,8/24/2021 9:43,8/24/2021 9:57,0:14:23,1
,pd4034674,Participant,Integration,8/24/2021 9:43,8/24/2021 9:57,0:13:36,2
