Name,Username,Role,AttendeeType,First join,Last leave,Total time,Joins
,prkg.vdohk,Moderator,Integration,9/2/2021 8:54,9/2/2021 9:51,0:56:50,1
,ph4136791,Participant,Integration,9/2/2021 8:56,9/2/2021 9:51,0:54:53,1
,dw4135370,Participant,Integration,9/2/2021 8:56,9/2/2021 9:51,0:54:57,1
,dh4133165,Participant,Integration,9/2/2021 8:57,9/2/2021 9:51,0:53:39,1
,kd4737194,Participant,Integration,9/2/2021 8:58,9/2/2021 9:50,0:52:02,1
,ip4037776,Participant,Integration,9/2/2021 8:59,9/2/2021 9:50,0:51:20,1
,qd4034774,Participant,Integration,9/2/2021 9:02,9/2/2021 9:50,0:48:22,1
,id4034975,Participant,Integration,9/2/2021 9:02,9/2/2021 9:51,0:48:38,1
,id4035381,Participant,Integration,9/2/2021 9:02,9/2/2021 9:51,0:48:22,1
,pd4134037,Participant,Integration,9/2/2021 9:03,9/2/2021 9:51,0:48:47,1
,kh4138456,Participant,Integration,9/2/2021 9:03,9/2/2021 9:52,0:48:34,1
,kk4932927,Participant,Integration,9/2/2021 9:04,9/2/2021 9:50,0:45:56,1
,kd4133686,Participant,Integration,9/2/2021 9:05,9/2/2021 9:50,0:45:22,1
,od4133911,Participant,Integration,9/2/2021 9:07,9/2/2021 9:51,0:43:57,1
,pk4133115,Participant,Integration,9/2/2021 9:08,9/2/2021 9:50,0:42:34,1
,uq4039461,Participant,Integration,9/2/2021 9:08,9/2/2021 9:51,0:42:37,2
,qd4133786,Participant,Integration,9/2/2021 9:09,9/2/2021 10:04,0:55:02,1
,pd4134894,Participant,Integration,9/2/2021 9:11,9/2/2021 9:51,0:39:43,1
,qd4034669,Participant,Integration,9/2/2021 9:14,9/2/2021 9:52,0:37:35,1
,vd4136613,Participant,Integration,9/2/2021 9:17,9/2/2021 9:51,0:34:32,1
,qd4037796,Participant,Integration,9/2/2021 9:19,9/2/2021 9:51,0:31:11,1
,pd4133939,Participant,Integration,9/2/2021 9:21,9/2/2021 9:51,0:29:27,1
,id4843046,Participant,Integration,9/2/2021 9:24,9/2/2021 9:51,0:26:43,3
,uh4034202,Participant,Integration,9/2/2021 9:28,9/2/2021 9:51,0:23:13,1
,pd4133901,Participant,Integration,9/2/2021 9:41,9/2/2021 9:51,0:09:01,3
