Name,Username,Role,AttendeeType,First join,Last leave,Total time,Joins
,qd4133786,Participant,Integration,9/16/2021 8:48,9/16/2021 9:53,1:04:40,1
,ph4136791,Participant,Integration,9/16/2021 8:54,9/16/2021 9:52,0:57:39,1
,id4035381,Participant,Integration,9/16/2021 8:55,9/16/2021 9:52,0:57:45,1
,prkg.vdohk,Moderator,Integration,9/16/2021 8:55,9/16/2021 9:53,0:58:17,1
,dw4135370,Participant,Integration,9/16/2021 9:01,9/16/2021 9:52,0:51:34,2
,qd4034669,Participant,Integration,9/16/2021 9:01,9/16/2021 9:53,0:52:09,1
,pd4134037,Participant,Integration,9/16/2021 9:01,9/16/2021 9:51,0:50:33,1
,dh4133165,Participant,Integration,9/16/2021 9:01,9/16/2021 9:53,0:51:53,1
,id4034975,Participant,Integration,9/16/2021 9:01,9/16/2021 9:53,0:51:49,2
,uh4034202,Participant,Integration,9/16/2021 9:01,9/16/2021 9:53,0:51:29,1
,qd4034774,Participant,Integration,9/16/2021 9:02,9/16/2021 9:53,0:51:06,1
,kd4737194,Participant,Integration,9/16/2021 9:02,9/16/2021 9:52,0:50:24,1
,ip4037776,Participant,Integration,9/16/2021 9:02,9/16/2021 9:52,0:49:47,1
,gk4133101,Participant,Integration,9/16/2021 9:03,9/16/2021 9:52,0:49:01,1
,uq4039461,Participant,Integration,9/16/2021 9:03,9/16/2021 9:53,0:50:02,1
,pk4133115,Participant,Integration,9/16/2021 9:07,9/16/2021 9:52,0:45:02,1
,kk4932927,Participant,Integration,9/16/2021 9:08,9/16/2021 9:52,0:43:58,1
,od4133911,Participant,Integration,9/16/2021 9:10,9/16/2021 9:53,0:42:43,1
,id4843046,Participant,Integration,9/16/2021 9:12,9/16/2021 9:53,0:40:40,1
,kd4133686,Participant,Integration,9/16/2021 9:15,9/16/2021 9:52,0:37:08,1
,qd4037796,Participant,Integration,9/16/2021 9:16,9/16/2021 9:52,0:36:08,3
,pd4134894,Participant,Integration,9/16/2021 9:16,9/16/2021 9:52,0:36:03,1
,vd4136613,Participant,Integration,9/16/2021 9:31,9/16/2021 9:54,0:23:17,1
,dd4133816,Participant,Integration,9/16/2021 9:41,9/16/2021 9:59,0:17:39,1
,kh4138456,Participant,Integration,9/16/2021 9:42,9/16/2021 9:52,0:09:16,2
,pd4034674,Participant,Integration,9/16/2021 9:45,9/16/2021 9:53,0:07:59,1
,pd4133901,Participant,Integration,9/16/2021 9:51,9/16/2021 9:52,0:00:51,1
