Name,Username,Role,AttendeeType,First join,Last leave,Total time,Joins
,kh4138456,Participant,Integration,8/31/2021 8:55,8/31/2021 9:54,0:49:35,7
,prkg.vdohk,Moderator,Integration,8/31/2021 8:56,8/31/2021 9:49,0:53:06,1
,dw4135370,Participant,Integration,8/31/2021 8:56,8/31/2021 9:48,0:51:29,3
,dh4133165,Participant,Integration,8/31/2021 8:58,8/31/2021 9:48,0:50:23,1
,pd4133939,Participant,Integration,8/31/2021 8:58,8/31/2021 9:48,0:50:15,1
,qd4034774,Participant,Integration,8/31/2021 8:58,8/31/2021 9:48,0:49:57,1
,qd4133786,Participant,Integration,8/31/2021 9:01,8/31/2021 9:55,0:53:44,2
,kd4737194,Participant,Integration,8/31/2021 9:01,8/31/2021 9:49,0:47:37,2
,ip4037776,Participant,Integration,8/31/2021 9:01,8/31/2021 9:48,0:47:18,1
,id4034975,Participant,Integration,8/31/2021 9:01,8/31/2021 9:49,0:41:56,4
,pd4134037,Participant,Integration,8/31/2021 9:01,8/31/2021 9:52,0:47:59,2
,qd4034669,Participant,Integration,8/31/2021 9:02,8/31/2021 9:52,0:47:26,3
,pd4134894,Participant,Integration,8/31/2021 9:02,8/31/2021 9:49,0:46:47,1
,id4035381,Participant,Integration,8/31/2021 9:03,8/31/2021 9:49,0:45:58,1
,od4133911,Participant,Integration,8/31/2021 9:03,8/31/2021 9:49,0:45:28,1
,dd4133816,Participant,Integration,8/31/2021 9:03,8/31/2021 9:48,0:45:15,1
,gk4133101,Participant,Integration,8/31/2021 9:03,8/31/2021 9:48,0:45:05,1
,pk4133115,Participant,Integration,8/31/2021 9:05,8/31/2021 9:48,0:43:47,1
,kd4133686,Participant,Integration,8/31/2021 9:05,8/31/2021 9:48,0:43:05,1
,kk4932927,Participant,Integration,8/31/2021 9:07,8/31/2021 9:48,0:40:57,1
,vd4136613,Participant,Integration,8/31/2021 9:10,8/31/2021 9:48,0:37:40,2
,uh4034202,Participant,Integration,8/31/2021 9:11,8/31/2021 9:48,0:36:56,1
,uq4039461,Participant,Integration,8/31/2021 9:12,8/31/2021 9:50,0:38:41,1
,id4843046,Participant,Integration,8/31/2021 9:19,8/31/2021 9:49,0:29:11,2
,ph4136791,Participant,Integration,8/31/2021 9:29,8/31/2021 9:48,0:19:34,1
,qd4037796,Participant,Integration,8/31/2021 9:33,8/31/2021 9:49,0:15:42,3
,pd4133901,Participant,Integration,8/31/2021 9:37,8/31/2021 9:49,0:12:08,1
